Algorithm,Dataset,Radius,Turbines,Seed,Calls,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Linear,Cubic,CubicCutout,Gauss,IdealCubic,IdealCubicCutout
LXSSA,1,500,2,1,6030,28091.474739469657,28091.474739469657,0.0,True,705.1879065156749,1.8674875990000144,28091.474739469657,23212.67310384682,22101.617458366913,28031.42226380734,23212.67310384682,22101.617458366913
LXSSA,1,500,2,2,6030,28091.474739469657,28091.474739469657,0.0,True,871.6897683949726,1.93854927000001,28091.474739469657,23212.67310384682,22101.617458366913,27951.38557640704,23212.67310384682,22101.617458366913
LXSSA,1,500,2,3,6030,28091.474739469657,28091.474739469657,0.0,True,873.1549809323842,1.8025666890000025,28091.474739469657,23212.67310384682,22101.617458366913,28088.526544478478,23212.67310384682,22101.617458366913
LXSSA,1,500,2,4,6030,28091.474739469657,28091.474739469657,0.0,True,770.4333953619117,1.8115430700000277,28091.474739469657,23212.67310384682,22101.617458366913,28087.371106303013,23212.67310384682,22101.617458366913
LXSSA,1,500,2,5,6030,28091.474739469657,28091.474739469657,0.0,True,800.3335499726032,1.7255228450000004,28091.474739469657,23212.67310384682,22101.617458366913,28085.769111536698,23212.67310384682,22101.617458366913
LXSSA,1,500,2,6,6030,28091.474739469657,28091.474739469657,0.0,True,811.2717403644745,1.7048637810000289,28091.474739469657,23212.67310384682,22101.617458366913,28084.32971786821,23212.67310384682,22101.617458366913
LXSSA,1,500,2,7,6030,28091.474739469657,28091.474739469657,0.0,True,828.5575579753586,1.7854765750000183,28091.474739469657,23212.67310384682,22101.617458366913,28086.753042678392,23212.67310384682,22101.617458366913
LXSSA,1,500,2,8,6030,28091.474739469657,28091.474739469657,0.0,True,779.9695369995432,1.77123657300001,28091.474739469657,23212.67310384682,22101.617458366913,28083.53535453559,23212.67310384682,22101.617458366913
LXSSA,1,500,2,9,6030,28091.474739469657,28091.474739469657,0.0,True,817.35762655247,1.720593712999971,28091.474739469657,23212.67310384682,22101.617458366913,28085.8954658667,23212.67310384682,22101.617458366913
LXSSA,1,500,2,10,6030,28091.474739469657,28091.474739469657,0.0,True,719.6806357236358,1.649295765999966,28091.474739469657,23212.67310384682,22101.617458366913,28083.963403317593,23212.67310384682,22101.617458366913
LXSSA,1,500,2,11,6030,28091.474739469657,28091.474739469657,0.0,True,965.5070137106092,1.707662594999988,28091.474739469657,23212.67310384682,22101.617458366913,28087.297191242542,23212.67310384682,22101.617458366913
LXSSA,1,500,2,12,6030,28091.474739469657,28091.474739469657,0.0,True,926.5210150776978,1.7144806189999713,28091.474739469657,23212.67310384682,22101.617458366913,28089.081673058565,23212.67310384682,22101.617458366913
LXSSA,1,500,2,13,6030,28091.474739469657,28091.474739469657,0.0,True,773.8933970898189,1.644491983000023,28091.474739469657,23212.67310384682,22101.617458366913,28085.530893064268,23212.67310384682,22101.617458366913
